Round,Table,Players,Decks,Winner
Round 4,118,"Atsushi Nakashima
Akira Tanaka He/Him","Jeskai Control
Izzet Lessons",Atsushi Nakashima won 2-0-0
Round 4,119,"Yoshiyuki Ogyu
itomasayoshi He/Him","Dimir Excruciator
Temur Aggro",Yoshiyuki Ogyu won 2-0-0
Round 4,120,"Ryouji Hirokawa
Kazuya Kiyofuji","Dimir Demons
Selesnya Landfall",Kazuya Kiyofuji won 2-1-0
Round 4,121,"Mikita Hirano He/Him
AxeBang","Izzet Spellementals
Izzet Elementals",AxeBang won 2-1-0
Round 4,122,"maegawa
Daichi Takemura Other","Selesnya Aggro
Selesnya Ouroboroid",Daichi Takemura won 2-1-0
Round 4,123,"TASE YUYA Other
Yutaro Tokuyama","Azorius Aggro
Orzhov Aggro",TASE YUYA won 2-0-0
Round 4,124,"Hideaki Teruya
Kyohei Murayama He/Him","Izzet Tempo
Sultai Control",Kyohei Murayama won 2-1-0
Round 4,125,"taiyu kato
TomohiroSakai He/Him","Golgari Aggro
Izzet Prowess",TomohiroSakai won 2-1-0
Round 4,126,"Kenta Harane He/Him
TATSURO ASANO","Izzet Otters
Izzet Prowess",TATSURO ASANO won 2-1-0
Round 4,127,"MAKITOYOSHIYAMA
Takumi Onodera","Temur Aggro
Temur Prowess",MAKITOYOSHIYAMA won 2-1-0
Round 4,128,"Sotaro Wada
Taiki Kageyama","Izzet Prowess
Temur Prowess",Sotaro Wada won 2-1-0
Round 4,129,"Takahisa Oonishi
sawada jun He/Him","Temur Combo
Jeskai Control",Takahisa Oonishi won 2-1-0
Round 4,130,"kyohei fukuyama They/Them
Ryosuke Okada He/Him","Selesnya
Izzet Aggro",Ryosuke Okada won 2-0-0
Round 4,131,"Takeshi Ozawa He/Him
Kazuhito Nobuta","Bant Rhythm
Selesnya Landfall",Takeshi Ozawa won 2-1-0
Round 4,132,"Satoshi Ishiguro Other
Akinori Fujikura He/Him","Temur Aggro
Izzet Prowess",Satoshi Ishiguro won 2-1-0
Round 4,133,"Kotaro Takahashi
Kiho Choi He/Him","Selesnya Landfall
Izzet Prowess",Kotaro Takahashi won 2-0-0
Round 4,134,"shun asano He/Him
Kazune Kosaka He/Him","Sultai Control
Temur Prowess",shun asano won 2-1-0
Round 4,135,"Yusuke Ohkawa
Taishi_Tokairin","Izzet Lessons
Selesnya Landfall",Yusuke Ohkawa won 2-0-0
Round 4,136,"Kenichirise
Shigeo Murase","Izzet Bounce
Jeskai Control",Kenichirise won 2-1-0
Round 4,137,"Ryo Inazawa He/Him
Yosuke Oka He/Him","Selesnya Landfall
Izzet Prowess",Ryo Inazawa won 2-1-0
Round 4,138,"SHOGO KONDO
Minoru Sato","Izzet Prowess
Sultai Combo",Minoru Sato won 2-0-0
Round 4,139,"yusuke matsubara
ERISON","Izzet Lessons
Mono-White Tokens",yusuke matsubara won 2-0-0
Round 4,140,"HUNG KAIYANG
yasuhiro yazu","Boros Aggro
Selesnya Ouroboroid",HUNG KAIYANG won 2-0-0
Round 4,141,"kent kakigi He/Him
trexdog001","Izzet Spellementals
Izzet Control",trexdog001 won 2-1-0
Round 4,142,"Yuta Inukai He/Him
Kazuaki Kurokawa","Selesnya Landfall
Izzet Prowess",Yuta Inukai won 2-1-0
Round 4,143,"Masaru Abe He/Him
Atsushi Hozuki","Dimir Excruciator
Selesnya Aggro",Atsushi Hozuki won 2-0-0
Round 4,144,"Taichi Akiyama
Takahiro Shiraki Other","Azorius Tempo
Simic Aggro",Taichi Akiyama won 2-1-0
Round 4,145,"Kaoru Yoshizawa
Hojun Yoon","Izzet Prowess
Izzet Aggro",Hojun Yoon won 2-1-0
Round 4,146,"yuki yamazaki
takanori watanabe He/Him","Boros Aggro
Selesnya Aggro",takanori watanabe won 2-0-0
Round 4,147,"Tomoya Tanaka
TOYOSHIMAYUMA He/Him","Izzet Prowess
Jeskai Artifacts",TOYOSHIMAYUMA won 2-1-0
Round 4,148,"TimYip
Ryutarou Machida","Izzet
Jeskai Control",Ryutarou Machida won 2-0-0
Round 4,149,"Takumi Matsuura
satoshi hashimoto He/Him","Izzet Prowess
Bant Midrange",satoshi hashimoto won 2-0-0
Round 4,150,"Takehiro Fujimoto
ryo kasuga","Mono-Red Aggro
Selesnya Landfall",ryo kasuga won 2-1-0
Round 4,151,"Keisuke Ebitani
YUKI OTA He/Him","Selesnya Ouroboroid
Izzet Control",YUKI OTA won 2-0-0
Round 4,152,"Takaya Saito
Kim Hoyeon He/Him","Azorius Control
Golgari Midrange",Takaya Saito won 2-0-0
Round 4,153,"shintarou yoshida He/Him
YOICHI NAGAMI","Jeskai Control
Abzan Control",shintarou yoshida won 2-0-0
Round 4,154,"彰信 梶谷
Yusuke Sasao He/Him","Selesnya Landfall
Izzet Elementals",彰信 梶谷 won 2-1-0
Round 4,155,"Shicheng Peng
Ryohei Takezawa He/Him","Jeskai Control
Izzet Aggro",Shicheng Peng won 2-1-0
Round 4,156,"Ryo Ito
Takuto Furukawa","Jeskai Control
Azorius Flash",Ryo Ito won 2-1-0
Round 4,157,"Horiuchi Makoto
hirohata","Temur Prowess
Golgari Midrange",Horiuchi Makoto won 2-0-0
Round 4,158,"bbtaka
TatsumasaTAKANO","Selesnya Aggro
Jeskai Midrange",TatsumasaTAKANO won 2-0-0
Round 4,159,"SHUNICHI NAKASHIMA
Yuya Minezaki","Selesnya Ouroboroid
Temur Prowess",SHUNICHI NAKASHIMA won 2-0-0
Round 4,160,"Takurou Yamaguchi Other
toya","Sultai Control
W-U-B-R Control",Takurou Yamaguchi won 2-0-0
Round 4,161,"Joel Hjortness
tatsuya kadowaki He/Him","W-U-B-R Control
Izzet Spellementals",Joel Hjortness won 2-0-0
Round 4,162,"KENTA KATAGIRI
Ryuichi Okayasu","Selesnya Rhythm
Izzet Prowess",KENTA KATAGIRI won 2-0-0
Round 4,163,"Ohashi Toshiyuki
Ryosuke Nishiura He/Him","Azorius Aggro
Selesnya Landfall",Ryosuke Nishiura won 2-0-0
Round 4,164,"taegyun lim
takayuki denishi Other","Grixis Midrange
Selesnya Landfall",taegyun lim won 2-0-0
Round 4,165,"Yoshihiro Oohashi He/Him
MAEDA YOSHITAKA He/Him","Jeskai Control
Izzet Prowess",Yoshihiro Oohashi won 2-0-0
Round 4,166,"Kazushige Shimamura He/Him
john_1_10_taka","Selesnya Landfall
Izzet Prowess",john_1_10_taka won 2-1-0
Round 4,167,"Ryouta Mishina
空 大黒","Temur Prowess
Sultai Control",空 大黒 won 2-1-0
Round 4,168,"showatanabe
Onoda Kenji He/Him","Bant Combo
Izzet Lessons",Onoda Kenji won 2-0-0
Round 4,169,"DaichiKo
Jun Takeuchi He/Him","Izzet Prowess
Izzet Elementals",DaichiKo won 2-0-0
Round 4,170,"Hiroaki Itou
MASATO YAMADE","Sultai Control
Izzet Spellementals",MASATO YAMADE won 2-1-0
Round 4,171,"Takuya Yoshimura He/Him
Naoyuki Hashimoto He/Him","Izzet Control
Dimir Excruciator",Naoyuki Hashimoto won 2-0-0
Round 4,172,"Hiroto Ogata
JUNYA YOSHIKAWA","Izzet Control
Temur Prowess",Hiroto Ogata won 2-0-0
Round 4,173,"yamamotoatsushi
Takashi Tsunomori He/Him","Mono-Green Landfall
Golgari Midrange",yamamotoatsushi won 2-0-0
Round 5,1,"Yuta Akamine They/Them
Yuya Hosokawa He/Him","Izzet Spellementals
Jeskai Control",Yuya Hosokawa won 2-0-0
Round 5,2,"ReiSakano Other
baronlee","Jeskai Control
Temur",ReiSakano won 2-0-0
Round 5,3,"Masataka Hori
Shinnosuke Hando","Selesnya Ouroboroid
Selesnya",Masataka Hori won 2-0-0
Round 5,4,"Hiroki Yamagata
Kenji Sego","Izzet Prowess
Izzet Spellementals",Kenji Sego won 2-1-0
Round 5,5,"kento shiraki He/Him
Go Nakamura He/Him","Selesnya Landfall
Sultai Control",Go Nakamura won 2-0-0
Round 5,6,"akira ishikawa
Keita Ito","Selesnya Landfall
Izzet Prowess",akira ishikawa won 2-1-0
Round 5,7,"Hiroaki Taniguchi He/Him
Keisuke Komatsu","Golgari Midrange
Izzet Spellementals",Keisuke Komatsu won 2-1-0
Round 5,8,"Rei Hirayama
Tomonori Hirami","Izzet Spellementals
Azorius Flash",Tomonori Hirami won 2-1-0
Round 5,9,"Masakuni Hamaguchi
Yoshihiko Ikawa He/Him","Selesnya Landfall
Izzet Spellementals",Masakuni Hamaguchi won 2-0-0
Round 5,10,"Hiroaki Kitahara
Kenichiro Omori He/Him","Sultai Control
Izzet Spellementals",Hiroaki Kitahara won 2-0-0
Round 5,11,"Ma Noah
HarryJPN He/Him","Selesnya Ouroboroid
Selesnya Landfall",HarryJPN won 2-1-0
Round 5,12,"LiDuoyan
Takato Ueno","Azorius Blink
Temur Prowess",Takato Ueno won 2-1-0
Round 5,13,"Shintaro Kurata
kouichi ishiwata","Izzet Aggro
Bant Rhythm",Shintaro Kurata won 2-0-0
Round 5,14,"akira uemura He/Him
Kenya Ishikawa He/Him","Selesnya Landfall
Izzet Spellementals",Kenya Ishikawa won 2-1-0
Round 5,15,"MASAO ODA He/Him
Toshiki Okai","Mono-Green Landfall
Izzet Prowess",Toshiki Okai won 2-1-0
Round 5,16,"Taisei Nakayama He/Him
Haruka Murano He/They","Izzet Prowess
Dimir Excruciator",Haruka Murano won 2-0-0
Round 5,17,"Takumi Utsunomiya He/Him
fukutome masayuki He/Him","Izzet Spellementals
Sultai Control",Takumi Utsunomiya won 2-0-0
Round 5,18,"Takahiro Obara
ryuichiro ishida He/Him","Izzet Prowess
Selesnya Rhythm",ryuichiro ishida won 2-1-0
Round 5,19,"Dod2gaia He/Him
takuya taniguchi","Jeskai Control
Selesnya Landfall",takuya taniguchi won 2-0-0
Round 5,20,"Leo Isogaya
ホリエ トオル He/Him","Izzet Lessons
Jeskai Control",ホリエ トオル won 2-0-0
Round 5,21,"Takaaki Okumura He/Him
MASAHIDE MORIYAMA","Izzet Prowess
Izzet Spellementals",MASAHIDE MORIYAMA won 2-0-0
Round 5,22,"Gaku Oohashi
TAKUYA HASEGAWA","Selesnya Landfall
Selesnya Landfall",TAKUYA HASEGAWA won 2-0-0
Round 5,23,"yuuji yoshida
grodri1999","Temur Aggro
Bant Rhythm",grodri1999 won 2-1-0
Round 5,24,"genki ogino
Yuusuke Ooyama","Izzet Aggro
Izzet Elementals",genki ogino won 2-0-0
Round 5,25,"RYUJI INOUE
LaturaPK","Izzet Aggro
Izzet",RYUJI INOUE won 2-0-0
Round 5,26,"RyosukeHayashi
Toshiya Kanegawa","Temur Midrange
Selesnya Aggro",Toshiya Kanegawa won 2-1-0
Round 5,27,"shinichiro watanabe
Hiroki Kageyama","Temur Prowess
Izzet Otters",shinichiro watanabe won 2-1-0
Round 5,28,"Hirotaka Kawasaki
Kazuhiro Noine","Selesnya Ouroboroid
Selesnya Landfall",Hirotaka Kawasaki won 2-0-0
Round 5,29,"Keisuke Naitou
RIKI KAMO He/Him","Temur Prowess
Mono-Green Landfall",Keisuke Naitou won 2-1-0
Round 5,30,"Yosuke Shimizu He/Him
YUSUKE NAKAMURA","Dimir Deceit
Izzet Prowess",Yosuke Shimizu won 2-1-0
Round 5,31,"KatsumataTomoaki
YutaYamada","Temur Prowess
Izzet Prowess",KatsumataTomoaki won 2-0-0
Round 5,32,"Satoshi Mizu
Takuya Aoki","Izzet Elementals
Izzet",Satoshi Mizu won 2-0-0
Round 5,33,"YsoHq They/Them
yasutaka Nagao","Izzet Prowess
W-U-B-R Control",YsoHq won 2-0-0
Round 5,34,"Haruka Ookura
Masaaki Hitomi He/Him","Selesnya Landfall
Selesnya Aggro",Masaaki Hitomi won 2-0-0
Round 5,35,"Shinya Saito He/Him
Ryota Ishikawa","Temur Prowess
Selesnya Landfall",Shinya Saito won 2-0-0
Round 5,36,"Sho Miyasaka
Takamichi Asai","Izzet Prowess
Temur Prowess",Sho Miyasaka won 2-0-0
Round 5,37,"YUJI KAWABATA He/Him
Yu Tanaka","Izzet Spellementals
Golgari Control",YUJI KAWABATA won 2-1-0
Round 5,38,"Yuichiro Maruyama
Sangjoon Kong He/Him","Izzet Spellementals
Grixis Midrange",Yuichiro Maruyama won 2-0-0
Round 5,39,"yoshiki yamashita He/Him
Hosokawa Kouta He/Him","Izzet Spellementals
Bant Rhythm",yoshiki yamashita won 2-1-0
Round 5,40,"Masanari Fukasawa He/Him
taiyo ishii He/Him","Selesnya Landfall
Izzet",taiyo ishii won 2-1-0
Round 5,41,"Jeongwoo Cho He/Him
shohei kiyota","Izzet Prowess
Izzet Prowess",Jeongwoo Cho won 2-1-0
Round 5,42,"whiteLeghorn He/Him
Keiichiro Matsumoto","Temur Tempo
W-U-B-R Control",Keiichiro Matsumoto won 2-0-0
Round 5,43,"Keisuke Sato
Yosuke Kasagawa","Temur Prowess
Mono-Green Aggro",Yosuke Kasagawa won 2-1-0
Round 5,44,"Masahiko Noguchi
sintarou yamada","Selesnya Landfall
Izzet Prowess",Masahiko Noguchi won 2-1-0
Round 5,45,"KOUSUKE CHINEN
nakatatsuyoshi","Izzet Spellementals
Izzet Prowess",nakatatsuyoshi won 2-1-0
Round 5,46,"hirofumi nakamatsu
Tomoya Kobayashi","Temur Aggro
Izzet Control",Tomoya Kobayashi won 2-1-0
Round 5,47,"Kouta Mochizuki He/Him
Takeshi Miyawaki He/Him","Temur Prowess
Dimir Excruciator",Takeshi Miyawaki won 2-0-0
Round 5,48,"naoya okamura He/Him
Kenta Imai He/Him","Izzet Elementals
Izzet Prowess",Kenta Imai won 2-0-0
Round 5,49,"Tomohiro Matsumoto He/Him
TakahashiRyoma","Izzet Spellementals
Golgari Demons",Tomohiro Matsumoto won 2-0-0
Round 5,50,"KazukiYada
Yusuke Takaoka He/Him","Temur Prowess
Izzet Aggro",KazukiYada won 2-1-0
Round 5,51,"Shota Miyashita
syaka3845","Izzet Lessons
Temur Prowess",syaka3845 won 2-0-0
Round 5,52,"HIDEYUKI ICHIKAWA
Yoshitaka Fujino","Izzet Prowess
Selesnya Aggro",Yoshitaka Fujino won 2-0-0
Round 5,53,"Keita Tonouchi He/Him
Masashiro Kuroda He/Him","Selesnya Landfall
Izzet Spellementals",Keita Tonouchi won 2-1-0
Round 5,54,"IchiwakiFumihiro
SAYAMA TATSUNOSUKE","Jeskai Control
Dimir Control",SAYAMA TATSUNOSUKE won 2-1-0
Round 5,55,"Hideki Yoshioka He/Him
Shunsuke Kimura He/Him","Azorius Flash
Sultai Control",Hideki Yoshioka won 2-0-0
Round 5,56,"junpei nakamura
Tomoaki Ogasawara","Golgari Midrange
Selesnya Ouroboroid",Tomoaki Ogasawara won 2-0-0
Round 5,57,"Atsushi Hasegawa He/Him
Tatsuumi KOBAYASHI","Mono-White Aggro
Izzet Spellementals",Tatsuumi KOBAYASHI won 2-0-0
Round 5,58,"Nixed
satoshi hashimoto He/Him","W-U-B-R Control
Bant Midrange",satoshi hashimoto won 2-1-0
Round 5,59,"Hiroki Toyota
Kyohei Murayama He/Him","Mono-Green Landfall
Sultai Control",Hiroki Toyota won 2-0-0
Round 5,60,"Ryutarou Machida
Kotaro Takahashi","Jeskai Control
Selesnya Landfall",Kotaro Takahashi won 2-0-0
Round 5,61,"TATSURO ASANO
Takahisa Oonishi","Izzet Prowess
Temur Combo",Takahisa Oonishi won 2-1-0
Round 5,62,"Manato Hosomi He/Him
HYUNDEOK JANG He/Him","Izzet Aggro
Boros Dragons",Manato Hosomi won 2-0-0
Round 5,63,"Yuki Wada
naoto yamane","Mono-Red Aggro
Selesnya Ouroboroid",naoto yamane won 2-0-0
Round 5,64,"Daichi Takemura Other
Toyoharu Mizuno He/Him","Selesnya Ouroboroid
Selesnya Landfall",Daichi Takemura won 2-0-0
Round 5,65,"Masaki Ooura
Syunsuke Nakazima","Izzet Prowess
Jeskai Control",Masaki Ooura won 2-1-0
Round 5,66,"tanono
Shingo Takada He/Him","Mardu Monument
Izzet Elementals",Shingo Takada won 2-1-0
Round 5,67,"trexdog001
TomohiroSakai He/Him","Izzet Control
Izzet Prowess",TomohiroSakai won 2-0-0
Round 5,68,"RuiyuanLu
Yotaki","Dimir Midrange
Jeskai Elementals",RuiyuanLu won 2-1-0
Round 5,69,"takanori watanabe He/Him
Yukinori Ishibashi","Selesnya Aggro
Selesnya Landfall",Yukinori Ishibashi won 2-0-0
Round 5,70,"Takashi Inui
syuhei nakayama","Izzet Spellementals
Izzet Prowess",Takashi Inui won 2-1-0
Round 5,71,"Andreas Holmqvist
gohki yokomizo She/Her","Selesnya Landfall
Dimir Deceit",Andreas Holmqvist won 2-1-0
Round 5,72,"Yutaro Morimoto He/Him
Koki Nakamura","Selesnya Ouroboroid
Selesnya Landfall",Koki Nakamura won 2-1-0
Round 5,73,"Yohei Nomiya He/Him
Atsushi Hozuki","Izzet Spellementals
Selesnya Aggro",Yohei Nomiya won 2-0-0
Round 5,74,"Takeshi Ozawa He/Him
HataRyushi","Bant Rhythm
Temur Aggro",Takeshi Ozawa won 2-0-0
Round 5,75,"HIDENARI IKEDA He/Him
ryota takeuchi","Selesnya Landfall
Boros Aggro",HIDENARI IKEDA won 2-0-0
Round 5,76,"Shimpo Kosuke
Kazuya Kiyofuji","Izzet Prowess
Selesnya Landfall",Shimpo Kosuke won 2-1-0
Round 5,77,"MAKITOYOSHIYAMA
Takaya Saito","Temur Aggro
Azorius Control",1-1-0 Draw
Round 5,78,"junichi takayama He/Him
Tamon","Izzet Spellementals
Dimir Excruciator",Tamon won 2-0-0
Round 5,79,"yusuke matsubara
XU BAOZHONG","Izzet Lessons
Jeskai Aggro",yusuke matsubara won 2-1-0
Round 5,80,"Ryuji Murae
aqua haruka#50863 He/Him","Izzet Aggro
Temur Prowess",Ryuji Murae won 2-0-0
Round 5,81,"Masahito Masuda
EIJI SOGO","Temur Prowess
Mono-Green Landfall",EIJI SOGO won 2-1-0
Round 5,82,"Pol Uros
Masayasu","Izzet Spellementals
Izzet Elementals",Pol Uros won 2-0-0
Round 5,83,"Mikita Hisano
Eisuke Oono He/Him","Boros
Selesnya Landfall",Mikita Hisano won 2-1-0
Round 5,84,"junsei yamaguchi He/Him
HAYATO IGURA","Jeskai Control
Selesnya Landfall",junsei yamaguchi won 2-0-0
Round 5,85,"Kazuki Kawata He/Him
Taichi Akiyama","Jeskai Control
Azorius Tempo",Kazuki Kawata won 2-1-0
Round 5,86,"Miyanishi Makoto He/Him
Sho Yoshimori He/Him","Izzet Prowess
Selesnya Landfall",Sho Yoshimori won 2-1-0
Round 5,87,"suganumakatuhiro
Kazuaki WATANABE They/Them","Grixis Reanimator
Selesnya Landfall",Kazuaki WATANABE won 2-0-0
Round 5,88,"Atsushi Nakashima
Ryota Motegi","Jeskai Control
Mardu",Atsushi Nakashima won 2-1-0
Round 5,89,"Keisuke Kirito
Shogo Kajita","Izzet Tempo
U-B-R-G Reanimator",Keisuke Kirito won 2-0-0
Round 5,90,"Tomoki Usui He/Him
IngyunAhn He/Him","Golgari Midrange
Izzet Prowess",IngyunAhn won 2-1-0
Round 5,91,"YUKI OTA He/Him
naoki kamizono","Izzet Control
Temur Prowess",naoki kamizono won 2-0-0
Round 5,92,"KAZUYOSHI ANAN
Hojun Yoon","W-U-B-R Control
Izzet Aggro",Hojun Yoon won 2-0-0
Round 5,93,"Jun Furukawa
cckew He/Him","Izzet Aggro
Izzet Spellementals",cckew won 2-0-0
Round 5,94,"takuya yamada He/Him
Taro Takahashi","W-U-B-R Control
Sultai Control",Taro Takahashi won 2-0-0
Round 5,95,"NOBUAKI JINBA Other
Shunsuke Nose He/Him","Temur Omniscience
Izzet Monument",Shunsuke Nose won 2-0-0
Round 5,96,"SHINICHI NAGAI
Yuuki Fujii","Izzet Lessons
Azorius Flash",Yuuki Fujii won 2-0-0
Round 5,97,"shun asano He/Him
Takayuki Rita","Sultai Control
Jeskai Control",Takayuki Rita won 2-1-0
Round 5,98,"shintarou yoshida He/Him
takahiro yamaguchi","Jeskai Control
Izzet Lessons",takahiro yamaguchi won 2-0-0
Round 5,99,"Takehito Kawakami
takayukikumakura","Jeskai Control
Dimir Demons",1-1-0 Draw
Round 5,100,"Ryo Inazawa He/Him
Masaki Oi","Selesnya Landfall
Izzet Prowess",Masaki Oi won 2-1-0
Round 5,101,"Tetsu Kawaguchi
Yuta Inukai He/Him","W-U-B-R Control
Selesnya Landfall",Yuta Inukai won 2-1-0
Round 5,102,"Tetsuji Yamamoto
Toru Yanagisaka","Golgari Midrange
Dimir Combo",Tetsuji Yamamoto won 2-1-0
Round 5,103,"Yosuke Hieda He/They
Yuya Mizuno He/Him","W-U-B-R Control
Selesnya Landfall",Yuya Mizuno won 2-1-0
Round 5,104,"Ryosuke Okada He/Him
Shunichi Nakajima","Izzet Aggro
Izzet Prowess",Shunichi Nakajima won 2-1-0
Round 5,105,"Yusuke Ohkawa
Satoshi Ishiguro Other","Izzet Lessons
Temur Aggro",Satoshi Ishiguro won 2-0-0
Round 5,106,"Yoshiyuki Ogyu
HUNG KAIYANG","Dimir Excruciator
Boros Aggro",Yoshiyuki Ogyu won 2-0-0
Round 5,107,"ryo kasuga
Marei Okamura","Selesnya Landfall
Sultai Control",ryo kasuga won 2-1-0
Round 5,108,"TOYOSHIMAYUMA He/Him
DBAngel","Jeskai Artifacts
Temur Omniscience",DBAngel won 2-1-0
Round 5,109,"藤垣 琢矢 He/Him
Koichi Kudo","Mono-Green Aggro
Selesnya Ouroboroid",藤垣 琢矢 won 2-0-0
Round 5,110,"John Im He/Him
AxeBang","Izzet
Izzet Elementals",John Im won 2-1-0
Round 5,111,"Kenichirise
TakuroIto","Izzet Bounce
Selesnya Landfall",TakuroIto won 2-0-0
Round 5,112,"Akinori Hishida
Hasedaigo","Selesnya
Izzet Aggro",Akinori Hishida won 2-1-0
Round 5,113,"Riku Kumagai
Sotaro Wada","Izzet Spellementals
Izzet Prowess",Sotaro Wada won 2-1-0
Round 5,114,"Masayoshi Yoshida
MAIMScrubs","Selesnya Landfall
Selesnya Landfall",Masayoshi Yoshida won 2-0-0
Round 5,115,"toru kono
emotosatoshi","Izzet Spellementals
Temur Prowess",toru kono won 2-0-0
Round 5,116,"JunSatoX1
Koala40","Boros Tokens
Dimir Demons",Koala40 won 2-0-0
Round 5,117,"TASE YUYA Other
yohei hoshino","Azorius Aggro
Temur Prowess",TASE YUYA won 2-0-0
Round 5,118,"sho kamezaki
ryuji mimido","Mono-Green Landfall
Dimir Demons",sho kamezaki won 2-1-0
Round 5,119,"Shota Takao
Minoru Sato","Selesnya Landfall
Sultai Combo",Shota Takao won 2-1-0
Round 5,120,"MASAAKI SAKAMOTO
rintaro honda","Selesnya Midrange
Temur Aggro",MASAAKI SAKAMOTO won 2-1-0
Round 5,121,"彰信 梶谷
Shicheng Peng","Selesnya Landfall
Jeskai Control",Shicheng Peng won 2-0-0
Round 5,122,"Yuuhei Komatsu
mcgottsu","Selesnya Landfall
Mardu Aggro",Yuuhei Komatsu won 2-1-0
Round 5,123,"Katsuki Fukumoto He/Him
TatsumasaTAKANO","Selesnya Landfall
Jeskai Midrange",Katsuki Fukumoto won 2-0-0
Round 5,124,"yamamotoatsushi
RYOUTA SHIMIZU","Mono-Green Landfall
Izzet Spellementals",yamamotoatsushi won 2-1-0
Round 5,125,"Masaru Abe He/Him
Charles Namchaisiri","Dimir Excruciator
Izzet Spellementals",Charles Namchaisiri won 2-1-0
Round 5,126,"TaeHyoungKim He/Him
yoshio miyake","Selesnya Aggro
Selesnya Landfall",TaeHyoungKim won 2-0-0
Round 5,127,"Seita Oono
Akira Yamawaki","Selesnya Rhythm
Azorius Tempo",Akira Yamawaki won 2-1-0
Round 5,128,"koki hara He/Him
Joel Hjortness","Bant Rhythm
W-U-B-R Control",koki hara won 2-0-0
Round 5,129,"TimYip
natsuki kitada","Izzet
Sultai Control",TimYip won 2-0-0
Round 5,130,"Tomoya Tanaka
kent kakigi He/Him","Izzet Prowess
Izzet Spellementals",Tomoya Tanaka won 2-1-0
Round 5,131,"Takumi Matsuura
john_1_10_taka","Izzet Prowess
Izzet Prowess",Takumi Matsuura won 2-1-0
Round 5,132,"Hideaki Teruya
Ryouji Hirokawa","Izzet Tempo
Dimir Demons",Hideaki Teruya won 2-0-0
Round 5,133,"Onoda Kenji He/Him
DaichiKo","Izzet Lessons
Izzet Prowess",Onoda Kenji won 2-1-0
Round 5,134,"空 大黒
Akinori Fujikura He/Him","Sultai Control
Izzet Prowess",空 大黒 won 2-0-0
Round 5,135,"SHOGO KONDO
Atsuki Kihara He/Him","Izzet Prowess
Sultai Control",Atsuki Kihara won 2-1-0
Round 5,136,"MiyazakiTakato
Yuichiro Sasa","Jeskai Control
Boros Aggro",Yuichiro Sasa won 2-1-0
Round 5,137,"kyohei fukuyama They/Them
GonTV He/Him","Selesnya
Dimir Excruciator",kyohei fukuyama won 2-1-0
Round 5,138,"MASATO YAMADE
Takumi Onodera","Izzet Spellementals
Temur Prowess",MASATO YAMADE won 2-0-0
Round 5,139,"Kiho Choi He/Him
Kaoru Yoshizawa","Izzet Prowess
Izzet Prowess",Kiho Choi won 2-1-0
Round 5,140,"Alexander von Stange
Chikara Nakajima","Izzet Prowess
Mono-Green Landfall",Chikara Nakajima won 2-1-0
Round 5,141,"Horiuchi Makoto
Kazuhiro Nakamura","Temur Prowess
Izzet Lessons",Horiuchi Makoto won 2-0-0
Round 5,142,"Taishi_Tokairin
tsuyoshinakamura","Selesnya Landfall
Abzan Midrange",Taishi_Tokairin won 2-0-0
Round 5,143,"Taiki Kageyama
HARUKA KAWANOBE","Temur Prowess
Izzet Midrange",Taiki Kageyama won 2-1-0
Round 5,144,"Kazuhito Nobuta
yasuhiro yazu","Selesnya Landfall
Selesnya Ouroboroid",yasuhiro yazu won 2-0-0
Round 5,145,"itomasayoshi He/Him
satoshi kuroiwa","Temur Aggro
Temur Prowess",itomasayoshi won 2-1-0
Round 5,146,"Hiroto Ogata
Ryosuke Nishiura He/Him","Izzet Control
Selesnya Landfall",Ryosuke Nishiura won 2-0-0
Round 5,147,"Kazune Kosaka He/Him
Akira Tanaka He/Him","Temur Prowess
Izzet Lessons",Kazune Kosaka won 2-0-0
Round 5,148,"sawada jun He/Him
TOMOKI EGEYAMA He/Him","Jeskai Control
Izzet Prowess",TOMOKI EGEYAMA won 2-1-0
Round 5,149,"Ryo Ito
Kazuki Murata","Jeskai Control
Dimir Excruciator",Kazuki Murata won 2-1-0
Round 5,150,"ERISON
Naoyuki Hashimoto He/Him","Mono-White Tokens
Dimir Excruciator",ERISON won 2-0-0
Round 5,151,"Yutaro Tokuyama
maegawa","Orzhov Aggro
Selesnya Aggro",maegawa won 2-0-0
Round 5,152,"Takurou Yamaguchi Other
taegyun lim","Sultai Control
Grixis Midrange",taegyun lim won 2-0-0
Round 5,153,"SHUNICHI NAKASHIMA
Mikita Hirano He/Him","Selesnya Ouroboroid
Izzet Spellementals",Mikita Hirano won 2-0-0
Round 5,154,"Naoki Higashida
Yosuke Oka He/Him","Izzet Prowess
Izzet Prowess",Yosuke Oka won 2-0-0
Round 5,155,"Shigeo Murase
Kazuaki Kurokawa","Jeskai Control
Izzet Prowess",Shigeo Murase won 2-0-0
Round 5,156,"Kim Hoyeon He/Him
Yoshihiro Oohashi He/Him","Golgari Midrange
Jeskai Control",Kim Hoyeon won 2-1-0
Round 5,157,"KENTA KATAGIRI
toya","Selesnya Rhythm
W-U-B-R Control",KENTA KATAGIRI won 2-1-0
Round 5,158,"takayuki denishi Other
Yuya Minezaki","Selesnya Landfall
Temur Prowess",Yuya Minezaki won 2-1-0
Round 5,159,"Hiroaki Itou
JUNYA YOSHIKAWA","Sultai Control
Temur Prowess",JUNYA YOSHIKAWA won 2-1-0
